Filename,SurveyID,MinLon,MaxLon,MinLat,MaxLat,CoordinateSystem,Theme,Datatype,Mb,URL,constantDataset,LABEL,DATE,CELLSIZE_DECDEGREES,LinespacingMetres,CoordsysData,Licence,CellsizeMetres
MRTASP559potg.isi,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559potg.ers,,MRTAS_NE_Tasmania_potassium_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559RAD..DIR,559,147.686001,148.050676,-41.660709,-41.241416,     GDA94,RADIOMETRICS,    VECTOR,1.897,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559RAD..DIR,,MRTAS_NE_Tasmania_radiometric_line_data,1989,Unknown,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",Unknown
MRTASP559RAD.isi,559,147.686001,148.050676,-41.660709,-41.241416,     GDA94,RADIOMETRICS,    VECTOR,1.897,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559RAD..DIR,,MRTAS_NE_Tasmania_radiometric_line_data,1989,Unknown,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",Unknown
MRTASP559thog,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559thog.ers,,MRTAS_NE_Tasmania_thorium_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559thog.ers,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559thog.ers,,MRTAS_NE_Tasmania_thorium_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559thog.isi,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559thog.ers,,MRTAS_NE_Tasmania_thorium_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559tmig,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94, MAGNETICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559tmig.ers,,MRTAS_NE_Tasmania_tmi_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559tmig.ers,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94, MAGNETICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559tmig.ers,,MRTAS_NE_Tasmania_tmi_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559tmig.isi,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94, MAGNETICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559tmig.ers,,MRTAS_NE_Tasmania_tmi_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559totg,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559totg.ers,,MRTAS_NE_Tasmania_totalcount_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559totg.ers,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559totg.ers,,MRTAS_NE_Tasmania_totalcount_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559totg.isi,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559totg.ers,,MRTAS_NE_Tasmania_totalcount_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559urag,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559urag.ers,,MRTAS_NE_Tasmania_uranium_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559urag.ers,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559urag.ers,,MRTAS_NE_Tasmania_uranium_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559urag.isi,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559urag.ers,,MRTAS_NE_Tasmania_uranium_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
P560tmig,560,129.700016,133.545829,-11.260119,-9.010113,     GDA94, MAGNETICS,      GRID,2,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P560tmig.ers,,Arafura_Sea_magnetic_grid_geodetic,1988,0.004167,2000_4000,AGD66,Creative Commons Attribution 3.0 Australia Licence,420
P560tmig.ers,560,129.700016,133.545829,-11.260119,-9.010113,     GDA94, MAGNETICS,      GRID,2,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P560tmig.ers,,Arafura_Sea_magnetic_grid_geodetic,1988,0.004167,2000_4000,AGD66,Creative Commons Attribution 3.0 Australia Licence,420
P560tmig.isi,560,129.700016,133.545829,-11.260119,-9.010113,     GDA94, MAGNETICS,      GRID,2,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P560tmig.ers,,Arafura_Sea_magnetic_grid_geodetic,1988,0.004167,2000_4000,AGD66,Creative Commons Attribution 3.0 Australia Licence,420
P560tmig.pdf,560,129.700016,133.545829,-11.260119,-9.010113,     GDA94, MAGNETICS,      GRID,2,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P560tmig.ers,,Arafura_Sea_magnetic_grid_geodetic,1988,0.004167,2000_4000,AGD66,Creative Commons Attribution 3.0 Australia Licence,420
P565demg,565,146.928811,148.573973,-34.0367,-32.889643,     GDA94, ELEVATION,      GRID,10.892,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565demg.ers,,Forbes_elevation_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565demg.ers,565,146.928811,148.573973,-34.0367,-32.889643,     GDA94, ELEVATION,      GRID,10.892,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565demg.ers,,Forbes_elevation_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565demg.isi,565,146.928811,148.573973,-34.0367,-32.889643,     GDA94, ELEVATION,      GRID,10.892,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565demg.ers,,Forbes_elevation_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565demg.pdf,565,146.928811,148.573973,-34.0367,-32.889643,     GDA94, ELEVATION,      GRID,10.892,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565demg.ers,,Forbes_elevation_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565demg.txt,565,146.928811,148.573973,-34.0367,-32.889643,     GDA94, ELEVATION,      GRID,10.892,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565demg.ers,,Forbes_elevation_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565potg,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565potg.ers,,Forbes_potassium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565potg.ers,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565potg.ers,,Forbes_potassium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565potg.isi,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565potg.ers,,Forbes_potassium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565potg.pdf,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565potg.ers,,Forbes_potassium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565potg.txt,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565potg.ers,,Forbes_potassium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565potg_parkes,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565potg_parkes.ers,,Parkes_1_100k_potassium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565potg_parkes.ers,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565potg_parkes.ers,,Parkes_1_100k_potassium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565potg_parkes.isi,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565potg_parkes.ers,,Parkes_1_100k_potassium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565potg_parkes.pdf,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565potg_parkes.ers,,Parkes_1_100k_potassium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565potg_parkes.txt,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565potg_parkes.ers,,Parkes_1_100k_potassium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565thog,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565thog.ers,,Forbes_thorium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565thog.ers,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565thog.ers,,Forbes_thorium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565thog.isi,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565thog.ers,,Forbes_thorium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565thog.pdf,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565thog.ers,,Forbes_thorium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565thog.txt,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565thog.ers,,Forbes_thorium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565thog_parkes,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565thog_parkes.ers,,Parkes_1_100k_thorium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565thog_parkes.ers,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565thog_parkes.ers,,Parkes_1_100k_thorium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565thog_parkes.isi,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565thog_parkes.ers,,Parkes_1_100k_thorium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565thog_parkes.pdf,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565thog_parkes.ers,,Parkes_1_100k_thorium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565thog_parkes.txt,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565thog_parkes.ers,,Parkes_1_100k_thorium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565tmig,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94, MAGNETICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565tmig.ers,,Forbes_magnetic_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565tmig.ers,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94, MAGNETICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565tmig.ers,,Forbes_magnetic_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565tmig.isi,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94, MAGNETICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565tmig.ers,,Forbes_magnetic_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565tmig.pdf,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94, MAGNETICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565tmig.ers,,Forbes_magnetic_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565tmig.txt,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94, MAGNETICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565tmig.ers,,Forbes_magnetic_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565tmig_parkes,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94, MAGNETICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565tmig_parkes.ers,,Parkes_1_100k_magnetic_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565tmig_parkes.ers,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94, MAGNETICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565tmig_parkes.ers,,Parkes_1_100k_magnetic_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565tmig_parkes.isi,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94, MAGNETICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565tmig_parkes.ers,,Parkes_1_100k_magnetic_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565tmig_parkes.pdf,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94, MAGNETICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565tmig_parkes.ers,,Parkes_1_100k_magnetic_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565tmig_parkes.txt,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94, MAGNETICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565tmig_parkes.ers,,Parkes_1_100k_magnetic_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565totg,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565totg.ers,,Forbes_total_count_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565totg.ers,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565totg.ers,,Forbes_total_count_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565totg.isi,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565totg.ers,,Forbes_total_count_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565totg.pdf,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565totg.ers,,Forbes_total_count_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565totg.txt,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565totg.ers,,Forbes_total_count_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565totg_parkes,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565totg_parkes.ers,,Parkes_1_100k_total_count_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565totg_parkes.ers,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565totg_parkes.ers,,Parkes_1_100k_total_count_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565totg_parkes.isi,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565totg_parkes.ers,,Parkes_1_100k_total_count_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565totg_parkes.pdf,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565totg_parkes.ers,,Parkes_1_100k_total_count_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565totg_parkes.txt,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565totg_parkes.ers,,Parkes_1_100k_total_count_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565urag,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565urag.ers,,Forbes_uranium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565urag.ers,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565urag.ers,,Forbes_uranium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565urag.isi,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565urag.ers,,Forbes_uranium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565urag.pdf,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565urag.ers,,Forbes_uranium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565urag.txt,565,146.928811,148.573974,-34.043365,-32.889643,     GDA94,RADIOMETRICS,      GRID,10.956,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565urag.ers,,Forbes_uranium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565urag_parkes,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565urag_parkes.ers,,Parkes_1_100k_uranium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
P565urag_parkes.ers,565,147.951199,148.551198,-33.548448,-32.948439,     GDA94,RADIOMETRICS,      GRID,2.08,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P565urag_parkes.ers,,Parkes_1_100k_uranium_grid_geodetic,Unknown,0.000833,Unknown,AGD66,Creative Commons Attribution 3.0 Australia Licence,80
