SURVEYID,TITLE,ABSTRACT,MINLON,MAXLON,MINLAT,MAXLAT,KEYWORD1,KEYWORD2,DATE
195926,Cocos Islands Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,7/01/1959
196003,Armidale-Cairns Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-16.89,-30.51667,153.0475,144.195,LAND,GRAV,2/01/1960
196005,South East Queensland Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-26.39833,-32.67,153.61167,143.865,LAND,GRAV,9/01/1960
196006,"Hay River-Simpson Desert-Tobermory, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-21.17333,-25.2,139.375,136.08833,LAND,GRAV,08/29/1960
196007,Wyndham-Daly Waters-Nutwood Downs Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-12.445,-23.7,134.25667,128.1,LAND,GRAV,09/22/1960
196008,Tennant Creek-Darwin Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-12,-19.55,134.3333,130.75,LAND,GRAV,10/01/1960
196015,Hay-Wentworth-Loxton Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,12/01/1960
196091,"Calibration Ranges, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-19.25267,-42.92583,153.01833,115.98667,LAND,GRAV,
196111,BMR Helicopter Grav NT-Queensland,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-20.97667,-26.03,142.61167,131.66,LAND,GRAV,07/17/1961
196115,Bombala-Cann River-Orbost Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-36.8333,-37.75,149.25,148.4167,LAND,GRAV,5/01/1961
196217,Windmill Island Antarctica Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-66.1667,-66.5,110.7667,110.333,LAND,GRAV,01/17/1962
196218,"Wilkes-Vostok, Antarctica Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-66.1667,-78.45,116,106.8667,LAND,GRAV,09/17/1962
196240,Alton Downs Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-25.9018,-27.00333,139.53497,138.26913,LAND,GRAV,7/07/1962
196246,North West Victoria Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
196328,Wilkes Antarctica Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,09/29/1962
196410,Australia Wide Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-14.45,-29.35333,149.18333,122.23333,LAND,GRAV,
196430,Fraser Island Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
196441,Milparinka-Queensland Border Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,9/01/1964
196445,"Cooper Creek Seismic, Grav, Seismic Refraction",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-27.10833,-28.93467,141.31467,138.99033,LAND,GRAV SEISR,2/10/1964
196491,"Isogal Grav, Australia",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-12.02,-42.90833,153.08333,114.975,LAND,GRAV,05/22/1964
196505,"Helicopter Grav NT, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-17.95,-17.95,135.90167,135.90167,LAND,GRAV,
196506,"Helicopter Grav NT, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-15.94333,-22.96167,139.50333,128.94,LAND,GRAV,
196522,Nulla Nulla Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-33,-34,142,140.5,LAND,GRAV,3/04/1965
196525,South Queensland-North NSW Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-26.81167,-31.55667,153.03,142.59667,LAND,GRAV,11/01/1965
196542,Wilcannia-Echuca Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-31.74667,-36.1195,144.9695,143.44883,LAND,GRAV,3/01/1965
196591,"Central, Eastern Australia Calibration Line",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-16.92833,-37.78667,152.7,144.89167,LAND,GRAV,01/30/1965
196600,Isogal Follow-up Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-12.78667,-33.68583,145.75333,134.85,LAND,GRAV,6/01/1966
196633,Tibooburra-Louth Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-29.77583,-30.53967,145.04683,142.8755,LAND,GRAV,11/12/1965
196639,"Eromanga-Frome Seismic, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-25.3645,-29.53817,142.5875,139.17833,LAND,GRAV SEIS,2/04/1966
196691,Thursday Island-Daru Grav Tie,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-10.58617,-10.59167,142.29667,142.22417,LAND,GRAV,5/01/1966
196693,"Western Pacific Calibration Line, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,9/01/1966
196704,"Helicopter Grav NT, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-10.745,-19.01833,137.09833,128.59333,LAND,GRAV,02/28/1967
196705,"Helicopter Grav NT, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-19.83333,-23.21333,132.01667,128.89333,LAND,GRAV,
196706,"Helicopter Grav NT, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-13.69167,-19.06333,129.845,122.09167,LAND,GRAV,
196707,"Helicopter Grav NT, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-12.955,-23.00667,135.43,128.97333,LAND,GRAV,
196721,Melbourne-Wilkes Tie Antarctic,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
196743,"Cooper Basin Seismic, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-24.59117,-29.329,142.472,139.07097,LAND,GRAV SEIS,04/15/1967
196793,Isogal Grav by aircraft Australia,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-14.23833,-36.91167,149.91083,114.3,LAND,GRAV,7/01/1967
196802,"Helicopter Grav NSW, Queensland, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-26.99667,-33.005,153.63667,143.99333,LAND,GRAV,
196803,"Helicopter Grav NSW, Queensland, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
196804,"East Central Road Traverses, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-20.16,-24.95833,127.51667,121.58833,LAND,GRAV,
196805,"Helicopter Grav, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-19.83333,-25.015,129.015,121.46833,LAND,GRAV,04/27/1968
196806,"Helicopter Grav NSW, Queensland, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
196820,Antarctica Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
196843,Wilkes-Casey Grav Base Ties,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
196905,Antarctica Grav Observations,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-69.534,-71.045,75.683,68.045,LAND,GRAV,01/18/1969
196990,"Western Pacific Calibration, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,9/01/1969
197000,"Helicopter Grav SA, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,04/15/1970
197002,"Helicopter Grav SA, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-26.08,-31.80167,129.00833,128.705,LAND,GRAV,
197004,"Helicopter Grav SA, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-30.03,-31.44667,134.85167,133.30167,LAND,GRAV,
197005,"Helicopter Grav SA, NT",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-26.495,-30.715,133.50667,128.735,LAND,GRAV,
197007,"Helicopter Grav SA, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-29.81667,-33.99167,140.865,137.80667,LAND,GRAV,
197008,"Helicopter Grav SA, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197009,"Helicopter Grav SA, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-30.21333,-33.94333,139.52667,137.83333,LAND,GRAV,
197010,"Helicopter Grav SA, WA",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-26,-32.98667,135.015,132.00333,LAND,GRAV,
197015,Antarctica Grav Observations,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,11/01/1969
197065,Macquarie Island-Melbourne Tie,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,11/01/1970
197071,"Oceanographic Investigation Melanesia, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,8/01/1970
197090,"Australia Calibration Line/PNG, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-15.44667,-42.8975,151.84,144.89834,LAND,GRAV,4/01/1970
197105,Antarctica Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-69.755,-73.08,69.017,64.263,LAND,GRAV,1/01/1971
197106,"Murray-Goulburn Valley Ground, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-35.84667,-36.16167,145.531,145.12967,LAND,GRAV,8/01/1971
197132,Heard Island Glacier Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197133,"Three Corners Seismic, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-25.5,-26.2,137.25,136.5,LAND,GRAV SEIS,08/17/1971
197177,Prince Charles Mountains Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-66.22333,-69.68,52.775,36.53167,LAND,GRAV,
197206,"Goulburn, Owen River Valleys, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-35.83617,-36.47083,146.4355,144.92067,LAND,GRAV,2/01/1972
197213,"Australian Calibration Line, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-27.43,-27.43,153.08167,153.08167,LAND,GRAV,12/13/1972
197253,Melbourne-Macquarie Island Tie,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,11/12/1972
197272,"GSI Grav, Magnetic",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197273,"GSI Grav, Magnetic",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197277,Prince Charles Mountains Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-67.89167,-72.98167,76.585,65.57333,LAND,GRAV,
197299,"Pendulum Isogal Tie, Moscow-Sydney",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197301,Helicopter Grav SE Australia,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-29,-38.735,151.48833,140.94667,LAND,GRAV,11/21/1973
197302,Helicopter Grav Eastern Australia,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-29.50667,-38.72667,150.08667,141.795,LAND,GRAV,
197307,Prince Charles Mountains Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-67.383,-74.36,69.03,60.48,LAND,GRAV,1/01/1973
197309,Christmas Island Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-10.68833,-10.9345,106.1855,105.92883,LAND,GRAV,1/01/1971
197337,"Portuguese Timor, Dili-Betano Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197345,Private Company Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,12/01/1973
197370,"GSI Grav, Magnetic",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197372,"GSI Grav, Magnetic",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197377,Prince Charles Mountains Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-66.92,-74.18167,78.80333,61.29,LAND,GRAV,
197390,BMR Soviet Australia Calibration Line,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-6.12667,-42.84,153.08333,143.30583,LAND,GRAV,5/02/1973
197393,Sydney-Christchurch-McMurdo,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,11/01/1973
197407,South Prince Charles Mountains Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,1/05/1974
197409,"Australian Calibration Line, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,9/01/1974
197499,Soviet Pendulum Isogal Ties,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-42.90833,-42.90833,147.32,147.32,LAND,GRAV,9/01/1974
197503,Albury-Wodonga Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197507,Antarctica Grav- Glaciology Traverse,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-68.01083,-68.652,62.1,53.52733,LAND,GRAV,10/15/1975
197520,Westmoreland Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-17.50083,-17.99233,138.493,137.8605,LAND,GRAV,
197531,Isogal Tie Melbourne to Macquarie Island,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,11/01/1975
197591,"Isogal Follow up Melbourne, Albury, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-36.07167,-37.89,146.955,145.31833,LAND,GRAV,2/10/1975
197593,Indonesian Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197603,Albury-Wodonga Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,2/01/1976
197604,Christmas Island Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,8/01/1976
197607,"Enderby Land, Antarctica Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,12/30/1975
197692,"Australian Calibration Line, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,2/09/1976
197707,"Enderby Land, Mt King Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-65.85,-68.7,61.97017,45.86667,LAND,GRAV,1/01/1977
197821,RECCE Trip to Indonesia,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,10/01/1978
197829,Whitestone Petroleum Survey,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197838,Nuie Island Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197932,Carpentaria Oil Survey,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
197990,International Japanese Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,9/08/1979
197999,Soviet Absolute Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-12.85,-33.78334,151.15,116.2,LAND,GRAV,
198090,Isogal Grav Strengthening,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-10.59167,-42.83833,153.03,113.66167,LAND,GRAV,
198140,Lake Mungo Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
198203,"Lord Howe, Norfolk Islands, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-28.9985,-31.5698,167.9897,159.0397,LAND,GRAV,11/01/1982
198240,"Dept Minerals, Energy Vic Survey",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
198243,"Dept Minerals, Energy Vic Survey",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
198245,"Dept Minerals, Energy Vic Survey",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
198290,"Sydney to Lord Howe, Norfolk Islands Isogal Ties",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-33.935,-33.935,151.18167,151.18167,LAND,GRAV,11/01/1982
198342,Colac-Otway Detailed,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-38.37842,-38.50579,143.69109,143.57328,LAND,GRAV,
198343,"Dept Minerals, Energy Vic Survey",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
198344,Ballarat - St Arnaud Region Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-36.42107,-37.72708,143.99136,143.75671,LAND,GRAV,
198345,"Dept Minerals, Energy Vic Survey",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
198348,University of Melbourne Survey,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
198410,Murray Basin Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-32.4354,-35.3863,143.3258,139.457,LAND,GRAV,10/01/1984
198430,Central Australia Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
198443,"Dept Minerals, Energy Vic Survey",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
198446,University of Melbourne Survey,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
194501,Baryulgil Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
194803,Wollongong Test Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,5/01/1948
194904,Ashford Coal Field Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-29.0833,-29.3333,151.25,151.1667,LAND,GRAV,06/15/1949
194908,Shannon - Red Cape Gravity,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-35,-36,146.5,146,LAND,GRAV,10/18/1949
