NAME,Surveyid,MINLON,MAXLON,MINLAT,MAXLAT,CS,THEME,DATATYPE,KSIZE,DODS_URL,LABEL,DATE,CELLSIZE,FLAVOUR,LINESPACING,CSDATA,LICENCENO,CELLSIZE_M
P180_Winton..DIR,180,141.242673,144.296863,-23.863789,-21.498504,     GDA94, MAGNETICS,    VECTOR,267,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P180_Winton..DIR,Winton_Area_magnetic_line_data,1957,Unknown,Unknown,10000,AGD66,1,Unknown
P183MAG..DIR,183,128.352868,130.390307,-16.148257,-13.097955,     GDA94, MAGNETICS,    VECTOR,6602,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P183MAG..DIR,Bonaparte_Gulf_Basin_mag,1958,Unknown,Unknown,1600,AGD66,1,Unknown
P190MAG..DIR,190,120.693169,123.095126,-32.018401,-29.970192,     GDA94, MAGNETICS,    VECTOR,9503,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P190MAG..DIR,Kurnalpi_Widgiemooltha_mag,1958,Unknown,Unknown,1600,AGD66,1,Unknown
P194MAG..DIR,194,145.465472,147.033418,-33.010315,-31.978605,     GDA94, MAGNETICS,    VECTOR,4977,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P194MAG..DIR,Nymagee_Cargelligo_mag,1958,Unknown,Unknown,1600,AGD66,1,Unknown
P196MAG..DIR,196,132.921971,134.580606,-30.078008,-28.940295,     GDA94, MAGNETICS,    VECTOR,4701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P196MAG..DIR,Tallaringa_Coober_Pedy_mag,1958,Unknown,Unknown,1600,AGD66,1,Unknown
P197MAGB..DIR,197,121.407653,123.086233,-33.052916,-31.979339,     GDA94, MAGNETICS,    VECTOR,7607,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P197MAGB..DIR,Norseman_mag,1959,Unknown,Unknown,1600,AGD66,1,Unknown
P197MAGA..DIR,197,119.902964,121.592818,-32.041508,-30.974784,     GDA94, MAGNETICS,    VECTOR,4271,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P197MAGA..DIR,Boorabbin_mag,1959,Unknown,Unknown,1600,AGD66,1,Unknown
P202MAG..DIR,202,148.979469,150.77435,-28.124486,-26.484613,     GDA94, MAGNETICS,    VECTOR,8153,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P202MAG..DIR,Surat_Basin_mag,1959_1960,Unknown,Unknown,1600,AGD66,1,Unknown
P205MAG..DIR,205,137.745319,139.555173,-34.006508,-32.945015,     GDA94, MAGNETICS,    VECTOR,2891,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P205MAG..DIR,Burra_area_mag,1960,Unknown,Unknown,1600,AGD66,1,Unknown
P206MAG..DIR,206,145.39653,147.109245,-31.056426,-29.986444,     GDA94, MAGNETICS,    VECTOR,4994,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P206MAG..DIR,Bourke_mag,1960,Unknown,Unknown,1600,AGD66,1,Unknown
P210MAG..DIR,210,119.911066,121.578294,-33.024292,-31.975342,     GDA94, MAGNETICS,    VECTOR,4893,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P210MAG..DIR,Lake_Johnston_mag,1960,Unknown,Unknown,1600,AGD66,1,Unknown
P221MAGA..DIR,221,148.973999,150.790573,-29.008178,-24.987106,     GDA94, MAGNETICS,    VECTOR,14755,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P221MAGA..DIR,Moree_Miles_North_mag,1961,Unknown,Unknown,1600,AGD66,1,Unknown
P221MAGB..DIR,221,145.959709,150.493109,-28.995495,-26.971571,     GDA94, MAGNETICS,    VECTOR,13252,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P221MAGB..DIR,Moree_Miles_West_mag,1961,Unknown,Unknown,1600,AGD66,1,Unknown
P221MAGC..DIR,221,146.484005,150.773003,-30.004262,-28.481533,     GDA94, MAGNETICS,    VECTOR,28951,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P221MAGC..DIR,Moree_Miles_South_mag,1961,Unknown,Unknown,1600,AGD66,1,Unknown
P223MAG..DIR,223,146.835031,150.165566,-24.164254,-21.869976,     GDA94, MAGNETICS,    VECTOR,8951,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P223MAG..DIR,Bowen_Basin_P223_mag,1961,Unknown,Unknown,3200,AGD66,1,Unknown
P226MAG..DIR,226,114.135119,116.610207,-29.011124,-27.988339,     GDA94, MAGNETICS,    VECTOR,6690,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P226MAG..DIR,Carnarvon_Basin_Geraldton_Yalgoo_mag,1961,Unknown,Unknown,1600,AGD66,1,Unknown
P228MAG..DIR,228,145.982144,146.757793,38.975854,40.523226,     GDA94, MAGNETICS,    VECTOR,3476,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P228MAG..DIR,Chowilla_mag,1961,Unknown,Unknown,1600,AGD66,1,Unknown
P232MAG..DIR,232,148.410063,150.187214,-34.034886,-32.957168,     GDA94, MAGNETICS,    VECTOR,3641,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P232MAG..DIR,Bathurst_mag,1961,Unknown,Unknown,1600,AGD66,1,Unknown
P234MAG..DIR,234,136.408181,138.090538,-32.016466,-29.992625,     GDA94, MAGNETICS,    VECTOR,8716,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P234MAG..DIR,Andamooka_Torrens_mag,1962,Unknown,Unknown,1600,AGD66,1,Unknown
P238MAG..DIR,238,145.956511,150.173659,-25.610958,-20.896649,     GDA94, MAGNETICS,    VECTOR,14520,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P238MAG..DIR,Bowen_Basin_P238_mag,1962,Unknown,Unknown,3200,AGD66,1,Unknown
P241MAG..DIR,241,139.448705,141.034665,-32.005782,-31.000233,     GDA94, MAGNETICS,    VECTOR,4457,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P241MAG..DIR,Curnamona_mag,1962,Unknown,Unknown,1600,AGD66,1,Unknown
P255MAG..DIR,255,128.881792,130.611088,-21.053677,-18.890975,     GDA94, MAGNETICS,    VECTOR,11265,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P255MAG..DIR,Tanami_The_Granites_mag,1962,Unknown,Unknown,1600,AGD66,1,Unknown
P262MAG..DIR,262,146.705844,149.218821,-27.105475,-23.629495,     GDA94, MAGNETICS,    VECTOR,4541,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P262MAG..DIR,Bowen_Basin_P262_mag,1963,Unknown,Unknown,3200,AGD66,1,Unknown
P263MAG..DIR,263,134.329917,136.462971,-19.04847,-17.866348,     GDA94, MAGNETICS,    VECTOR,2124,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P263MAG..DIR,Brunette_Downs_mag,1963,Unknown,Unknown,3200,AGD66,1,Unknown
P270MAG..DIR,270,134.905871,139.589153,-23.030417,-19.916758,     GDA94, MAGNETICS,    VECTOR,16037,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P270MAG..DIR,Georgina_Basin_P270_mag,1963,Unknown,Unknown,3200,AGD66,1,Unknown
P271MAG..DIR,271,137.957521,141.047632,-31.027744,-28.460069,     GDA94, MAGNETICS,    VECTOR,9489,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P271MAG..DIR,Kopperamanna_Frome_mag,1963,Unknown,Unknown,3200,AGD66,1,Unknown
P282MAG..DIR,282,150.004353,153.258732,-24.604877,-19.99518,     GDA94, MAGNETICS,    VECTOR,7262,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P282MAG..DIR,Swain_Reefs_mag,1964,Unknown,Unknown,4800,AGD66,1,Unknown
P284MAGA..DIR,284,134.9011,139.601834,-21.030447,-17.893886,     GDA94, MAGNETICS,    VECTOR,17380,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P284MAGA..DIR,Georgina_Basin_P284_North_mag,1964,Unknown,Unknown,3200,AGD66,1,Unknown
P284MAGB..DIR,284,134.919044,139.613379,-24.103859,-21.98281,     GDA94, MAGNETICS,    VECTOR,7113,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P284MAGB..DIR,Georgina_Basin_P284_South_mag,1964,Unknown,Unknown,3200,AGD66,1,Unknown
P285MAG..DIR,285,138.928445,142.073342,-13.782377,-9.951029,     GDA94, MAGNETICS,    VECTOR,7653,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P285MAG..DIR,Gulf_of_Carpentaria_mag,1964_1965,Unknown,Unknown,3200,AGD66,1,Unknown
P288MAGA..DIR,288,119.964545,121.53084,-30.024173,-28.954532,     GDA94, MAGNETICS,    VECTOR,5460,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P288MAGA..DIR,Menzies_mag,1964,Unknown,Unknown,1600,AGD66,1,Unknown
P288MAGB..DIR,288,119.974945,121.527824,-29.028953,-27.952729,     GDA94, MAGNETICS,    VECTOR,5172,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P288MAGB..DIR,Leonora_mag,1964,Unknown,Unknown,1600,AGD66,1,Unknown
P301MAG..DIR,301,128.891908,135.120416,-26.083058,-22.911693,     GDA94, MAGNETICS,    VECTOR,23264,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P301MAG..DIR,Amadeus_Basin_mag,1965,Unknown,Unknown,1600,AGD66,1,Unknown
P310MAG..DIR,310,148.441094,150.090188,-35.057924,-33.992945,     GDA94, MAGNETICS,    VECTOR,5026,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P310MAG..DIR,Goulburn_mag,1965_1966,Unknown,Unknown,1600,AGD66,1,Unknown
P311MAG..DIR,311,139.44135,141.060043,-24.062665,-21.92773,     GDA94, MAGNETICS,    VECTOR,1092,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P311MAG..DIR,Great_Artesian_Basin_mag,1965,Unknown,Unknown,6400,AGD66,1,Unknown
P314MAG..DIR,314,137.919051,139.594364,-33.141723,-30.937613,     GDA94, MAGNETICS,    VECTOR,9896,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P314MAG..DIR,Parachilna_Orroroo_mag,1965,Unknown,Unknown,1600,AGD66,1,Unknown
P319MAG..DIR,319,134.415809,139.505314,-31.003156,-28.996057,     GDA94, MAGNETICS,    VECTOR,10769,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P319MAG..DIR,Central_South_Australia_mag,1966,Unknown,Unknown,3200,AGD66,1,Unknown
P323MAG..DIR,323,121.447585,123.11305,-30.020178,-27.956769,     GDA94, MAGNETICS,    VECTOR,10028,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P323MAG..DIR,Laverton_Edjudina_mag,1966,Unknown,Unknown,1600,AGD66,1,Unknown
P331MAG..DIR,331,128.941165,130.56513,-19.047248,-14.938739,     GDA94, MAGNETICS,    VECTOR,14001,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P331MAG..DIR,Victoria_River_Basin_West_mag,1966_1967,Unknown,Unknown,1600,AGD66,1,Unknown
P338MAG..DIR,338,131.479381,134.52049,-27.528562,-25.958255,     GDA94, MAGNETICS,    VECTOR,12932,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P338MAG..DIR,Musgrave_Block_mag,1967,Unknown,Unknown,1600,AGD66,1,Unknown
P342MAG..DIR,342,119.943361,123.064041,-28.006776,-26.938683,     GDA94, MAGNETICS,    VECTOR,9547,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P342MAG..DIR,Sir_Samuel_Duketon_mag,1967,Unknown,Unknown,1600,AGD66,1,Unknown
P344MAG..DIR,344,130.44406,132.062601,-18.0737,-14.907591,     GDA94, MAGNETICS,    VECTOR,6975,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P344MAG..DIR,Victoria_River_Basin_East_mag,1967_1968,Unknown,Unknown,1600,AGD66,1,Unknown
P346MAG..DIR,346,140.964651,145.559764,-27.751276,-22.95491,     GDA94, MAGNETICS,    VECTOR,15408,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P346MAG..DIR,Central_Artesian_Basin_mag,1968,Unknown,Unknown,3200,AGD66,1,Unknown
P348MAG..DIR,348,143.497124,146.188671,-15.765721,-12.989656,     GDA94, MAGNETICS,    VECTOR,12950,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P348MAG..DIR,Corbett_Reef_mag,1968,Unknown,Unknown,2880,AGD66,1,Unknown
P354MAG..DIR,354,118.442564,120.076882,-29.003329,-26.977079,     GDA94, MAGNETICS,    VECTOR,9292,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P354MAG..DIR,Sandstone_Youanmi_mag,1968,Unknown,Unknown,1600,AGD66,1,Unknown
P361MAG..DIR,361,128.996584,131.506668,-27.512012,-25.976653,     GDA94, MAGNETICS,    VECTOR,22858,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P361MAG..DIR,Mann_Woodroffe_mag,1969,Unknown,Unknown,1600,AGD66,1,Unknown
P367MAG..DIR,367,142.389429,146.228337,-17.046421,-15.898164,     GDA94, MAGNETICS,    VECTOR,11354,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P367MAG..DIR,Southern_Cape_York_mag,1969,Unknown,Unknown,1600,AGD66,1,Unknown
P368MAG..DIR,368,145.977308,150.588966,-21.028662,-16.862459,     GDA94, MAGNETICS,    VECTOR,1098,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P368MAG..DIR,Swain_Reefs_magnetic_line_data,1969,Unknown,Unknown,4000,AGD66,1,Unknown
P371MAG..DIR,371,116.307694,118.625843,-29.031084,-25.96647,     GDA94, MAGNETICS,    VECTOR,20618,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P371MAG..DIR,Byro_Belele_Murgoo_Cue_Yalgoo_Kirkalocka_mag,1969,Unknown,Unknown,1600,AGD66,1,Unknown
P375MAG..DIR,375,128.95472,133.579079,-31.090875,-29.912075,     GDA94, MAGNETICS,    VECTOR,12493,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P375MAG..DIR,Eucla_Basin_(Cook_Ooldea__Barton)_mag,1970,Unknown,Unknown,1600,AGD66,1,Unknown
P382MAG..DIR,382,122.904227,126.11746,-31.109837,-27.914461,     GDA94, MAGNETICS,    VECTOR,43394,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P382MAG..DIR,Rason_Minigwal_Plumridge_Cundeelee_mag,1970,Unknown,Unknown,1500,AGD66,1,Unknown
P388MAG..DIR,388,147.089599,147.750446,-32.47607,-32.018716,     GDA94, MAGNETICS,    VECTOR,10111,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P388MAG..DIR,Tottenham_(Narromine)_NSW_mag,1971,Unknown,Unknown,250,AGD66,1,Unknown
P391MAG..DIR,391,131.925407,133.558745,-12.998194,-12.055952,     GDA94, MAGNETICS,    VECTOR,7941,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P391MAG..DIR,Alligator_River_Mt_Evelyn_Cobourg_Peninsula_mag,1971_1972,Unknown,Unknown,1600,AGD66,1,Unknown
P392MAG..DIR,392,133.465896,135.036487,-23.060791,-21.951289,     GDA94, MAGNETICS,    VECTOR,9090,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P392MAG..DIR,Alcoota_mag,1972,Unknown,Unknown,1600,AGD66,1,Unknown
P397MAG..DIR,397,143.923019,148.662419,-37.088585,-35.880276,     GDA94, MAGNETICS,    VECTOR,16064,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P397MAG..DIR,Bendigo_Wangaratta_Tallangatta_mag,1972,Unknown,Unknown,1500,AGD66,1,Unknown
P397RAD..DIR,397,143.923019,146.64675,-37.088585,-35.880293,     GDA94,RADIOMETRICS,    VECTOR,18107,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P397RAD..DIR,Bendigo_Wangaratta_Tallangatta_rad,1972,Unknown,Unknown,1500,AGD66,1,Unknown
P398MAG..DIR,398,116.434416,123.077736,-26.06926,-24.930359,     GDA94, MAGNETICS,    VECTOR,32043,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P398MAG..DIR,Glenburgh_Robinson_Range_Peak_Hill_Nabberu_Stanley_mag,1972,Unknown,Unknown,1500,AGD66,1,Unknown
P398RAD..DIR,398,116.446248,120.057332,-26.068149,-24.933033,     GDA94,RADIOMETRICS,    VECTOR,18565,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P398RAD..DIR,Glenburgh_Robinson_Range_Peak_Hill_Nabberu_Stanley_rad,1972,Unknown,Unknown,1500,AGD66,1,Unknown
P399MAG..DIR,399,115.352238,118.595216,-31.066774,-28.877043,     GDA94, MAGNETICS,    VECTOR,26806,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P399MAG..DIR,Perenjori_Ninghan_Moora_Bencubbin_mag,1972,Unknown,Unknown,1500,AGD66,1,Unknown
P400MAG..DIR,400,128.899084,133.60617,-32.258265,-30.905546,     GDA94, MAGNETICS,    VECTOR,16291,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P400MAG..DIR,Eucla_Basin_mag,1972_1973,Unknown,Unknown,1500,AGD66,1,Unknown
P400RADOLD..DIR,400,128.884747,133.619642,-32.258264,-30.905545,     GDA94,RADIOMETRICS,    VECTOR,21619,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P400RADOLD..DIR,Eucla_Basin_rad,1972_1973,Unknown,Unknown,1500,AGD66,1,Unknown
P401MAG..DIR,401,115.913541,118.566562,-33.029245,-30.971561,     GDA94, MAGNETICS,    VECTOR,21872,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P401MAG..DIR,Perth_Kellerberrin_Pinjarra_Corrigin_mag,1972_1973,Unknown,Unknown,1500,AGD66,1,Unknown
P402MAG..DIR,402,140.830639,145.540309,-15.10613,-13.899199,     GDA94, MAGNETICS,    VECTOR,11780,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P402MAG..DIR,Carpentaria_Basin_Holroyd_Ebagoola_Cape_Melville_mag,1973,Unknown,Unknown,3000,AGD66,1,Unknown
P402RAD..DIR,402,140.830639,145.540309,-15.10613,-13.899199,     GDA94,RADIOMETRICS,    VECTOR,16764,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P402RAD..DIR,Carpentaria_Basin_Holroyd_Ebagoola_Cape_Melville_rad,1973,Unknown,Unknown,3000,AGD66,1,Unknown
P403MAG..DIR,403,139.419749,141.058714,-21.030023,-19.969575,     GDA94, MAGNETICS,    VECTOR,19984,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P403MAG..DIR,Cloncurry_mag,1973,Unknown,Unknown,1500,AGD66,1,Unknown
P403RAD..DIR,403,139.419739,141.058705,-21.030021,-19.969605,     GDA94,RADIOMETRICS,    VECTOR,12948,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P403RAD..DIR,Cloncurry_rad,1973,Unknown,Unknown,1500,AGD66,1,Unknown
P406MAG..DIR,406,144.881278,145.8186,-36.096386,-35.741492,     GDA94, MAGNETICS,    VECTOR,635,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P406MAG..DIR,Goulburn_River_Valley_mag,1973,Unknown,Unknown,1500,AGD66,1,Unknown
P407MAG..DIR,407,139.42724,140.066962,-20.527657,-19.969733,     GDA94, MAGNETICS,    VECTOR,10716,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P407MAG..DIR,Prospector_Qld_mag,1973,Unknown,Unknown,500,AGD66,1,Unknown
P407RAD..DIR,407,139.427232,140.066951,-20.527627,-19.969733,     GDA94,RADIOMETRICS,    VECTOR,12041,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P407RAD..DIR,Prospector_Qld_rad,1973,Unknown,Unknown,500,AGD66,1,Unknown
P408MAG..DIR,408,137.954264,139.552345,-18.073849,-16.926163,     GDA94, MAGNETICS,    VECTOR,7149,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P408MAG..DIR,Westmoreland_mag,1973,Unknown,Unknown,1500_3000,AGD66,1,Unknown
P409MAG..DIR,409,146.924951,150.252242,-36.079164,-34.899432,     GDA94, MAGNETICS,    VECTOR,11676,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P409MAG..DIR,Canberra_Wagga_Wagga_mag,1973_1974,Unknown,Unknown,1500,AGD66,1,Unknown
P409RAD..DIR,409,146.924952,148.193435,-36.067453,-34.931651,     GDA94,RADIOMETRICS,    VECTOR,6284,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P409RAD..DIR,Canberra_Wagga_Wagga_rad,1973_1974,Unknown,Unknown,1500,AGD66,1,Unknown
P410MAG..DIR,410,140.830642,145.853451,-16.152518,-14.86743,     GDA94, MAGNETICS,    VECTOR,11117,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P410MAG..DIR,Carpentaria_Basin_(Rutland_Plains_Hann_River_Cooktown)_mag,1974,Unknown,Unknown,3000,AGD66,1,Unknown
P410RADOLD..DIR,410,140.920742,145.853451,-16.152519,-14.96107,     GDA94,RADIOMETRICS,    VECTOR,15477,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P410RADOLD..DIR,Carpentaria_Basin_(Rutland_Plains_Hann_River_Cooktown)_rad,1974,Unknown,Unknown,3000,AGD66,1,Unknown
P411MAG..DIR,411,130.895107,131.10268,-12.573256,-12.337568,     GDA94, MAGNETICS,    VECTOR,544,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P411MAG..DIR,Darwin_NT_mag,1974,Unknown,Unknown,500,AGD66,1,Unknown
P411RADOLD..DIR,411,130.895107,131.10268,-12.573256,-12.337568,     GDA94,RADIOMETRICS,    VECTOR,771,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P411RADOLD..DIR,Darwin_NT_rad,1974,Unknown,Unknown,500,AGD66,1,Unknown
P413MAG..DIR,413,143.937153,147.051215,-35.995341,-34.006607,     GDA94, MAGNETICS,    VECTOR,3046,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P413MAG..DIR,Hay_Narrandera_Deniliquin_Jerilderie_mag,1974,Unknown,Unknown,10000,AGD66,1,Unknown
P414MAG..DIR,414,140.90994,142.593399,-38.047864,-35.981752,     GDA94, MAGNETICS,    VECTOR,1781,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P414MAG..DIR,Horsham_Hamilton_mag,1974,Unknown,Unknown,10000,AGD66,1,Unknown
P415MAG..DIR,415,132.275564,132.861943,-13.287311,-12.851106,     GDA94, MAGNETICS,    VECTOR,1945,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P415MAG..DIR,Koolpin_Area_NT_mag,1974,Unknown,Unknown,500,AGD66,1,Unknown
P415RAD..DIR,415,132.275564,132.861943,-13.287311,-12.851106,     GDA94,RADIOMETRICS,    VECTOR,2717,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P415RAD..DIR,Koolpin_Area_NT_rad,1974,Unknown,Unknown,500,AGD66,1,Unknown
P418MAG..DIR,418,129.572727,132.172319,-14.120072,-11.928649,     GDA94, MAGNETICS,    VECTOR,14955,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P418MAG..DIR,Darwin_Fog_Bay_Cape_Scott_Pine_Creek_mag,1974,Unknown,Unknown,1500_3000,AGD66,1,Unknown
P418RAD..DIR,418,129.572727,132.172319,-14.120072,-11.928649,     GDA94,RADIOMETRICS,    VECTOR,21219,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P418RAD..DIR,Darwin_Fog_Bay_Cape_Scott_Pine_Creek_rad,1974,Unknown,Unknown,1500_3000,AGD66,1,Unknown
P419MAG..DIR,419,146.789596,148.718828,-38.10163,-36.865122,     GDA94, MAGNETICS,    VECTOR,4463,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P419MAG..DIR,Bairnsdale_mag,1975_1976,Unknown,Unknown,1500,AGD66,1,Unknown
P420MAG..DIR,420,140.575086,142.827213,-32.133721,-30.814893,     GDA94, MAGNETICS,    VECTOR,7670,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P420MAG..DIR,Broken_Hill_Regional_mag,1975,Unknown,Unknown,1500,AGD66,1,Unknown
P420RAD..DIR,420,140.575086,142.827213,-32.133721,-30.814893,     GDA94,RADIOMETRICS,    VECTOR,10895,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P420RAD..DIR,Broken_Hill_Regional_rad,1975,Unknown,Unknown,1500,AGD66,1,Unknown
P421MAG..DIR,421,141.048432,141.967446,-32.12282,-30.880083,     GDA94, MAGNETICS,    VECTOR,7678,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P421MAG..DIR,Broken_Hill_NSW_Detail_mag,1975,Unknown,Unknown,300,AGD66,1,Unknown
P421RAD..DIR,421,141.048438,141.96744,-31.985629,-31.354129,     GDA94,RADIOMETRICS,    VECTOR,9988,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P421RAD..DIR,Broken_Hill_NSW_Detail_rad,1975,Unknown,Unknown,300,AGD66,1,Unknown
